"Date","Time","Quantity","Units","Service","Meter","Account"
2/26/2020,11:59 PM,38.5580000000009,"kWh","Electricity","578386","8771398385"
2/27/2020,11:59 PM,19.6860000000015,"kWh","Electricity","578386","8771398385"
2/28/2020,11:59 PM,26.6139999999978,"kWh","Electricity","578386","8771398385"
2/29/2020,11:59 PM,22.405999999999,"kWh","Electricity","578386","8771398385"
3/1/2020,11:59 PM,23.2669999999998,"kWh","Electricity","578386","8771398385"
3/2/2020,11:59 PM,22.9090000000033,"kWh","Electricity","578386","8771398385"
3/3/2020,11:59 PM,23.9629999999997,"kWh","Electricity","578386","8771398385"
3/4/2020,11:59 PM,25.5,"kWh","Electricity","578386","8771398385"
3/5/2020,11:59 PM,24.7030000000013,"kWh","Electricity","578386","8771398385"
3/6/2020,11:59 PM,28.3319999999985,"kWh","Electricity","578386","8771398385"
3/7/2020,11:59 PM,20.5449999999983,"kWh","Electricity","578386","8771398385"
3/8/2020,11:59 PM,18.8090000000011,"kWh","Electricity","578386","8771398385"
3/9/2020,11:59 PM,26.0889999999999,"kWh","Electricity","578386","8771398385"
3/10/2020,11:59 PM,17.280999999999,"kWh","Electricity","578386","8771398385"
3/11/2020,11:59 PM,20.8460000000014,"kWh","Electricity","578386","8771398385"
3/12/2020,11:59 PM,30.6270000000004,"kWh","Electricity","578386","8771398385"
3/13/2020,11:59 PM,31.4369999999981,"kWh","Electricity","578386","8771398385"
3/14/2020,11:59 PM,45.9880000000012,"kWh","Electricity","578386","8771398385"
3/15/2020,11:59 PM,29.5970000000016,"kWh","Electricity","578386","8771398385"
3/16/2020,11:59 PM,39.3410000000003,"kWh","Electricity","578386","8771398385"
3/17/2020,11:59 PM,23.6359999999986,"kWh","Electricity","578386","8771398385"
3/18/2020,11:59 PM,18.9959999999992,"kWh","Electricity","578386","8771398385"
3/19/2020,11:59 PM,21.3739999999998,"kWh","Electricity","578386","8771398385"
3/20/2020,11:59 PM,37.7639999999992,"kWh","Electricity","578386","8771398385"
3/21/2020,11:59 PM,23.6830000000009,"kWh","Electricity","578386","8771398385"
3/22/2020,11:59 PM,16.9259999999995,"kWh","Electricity","578386","8771398385"
3/23/2020,11:59 PM,14.4130000000005,"kWh","Electricity","578386","8771398385"
